lon,lat,LCOE,max_elec
-138.7145626,61.05634071,0.0463295,249679.2378
-138.4595131,60.91915308,0.0527172,219426.0482
-138.2067175,60.78148733,0.0533342,216887.6552
-137.956154,60.64335086,0.0500024,231339.3992
-137.7078008,60.50475098,0.045022,256930.3012
-137.4616362,60.36569491,0.0444451,260265.2722
-137.2176387,60.22618981,0.0465399,248550.9164
-136.9757869,60.08624275,0.0405224,285459.6198
-136.7360596,59.9458607,0.0374617,308782.9967
-136.4984355,59.80505058,0.0378049,305979.3106
-136.2628938,59.66381921,0.0522883,221226.0668
-136.0294134,59.52217336,0.0518729,222997.5084
-132.3561393,57.05696406,0.0274072,422061.3202
-132.1563678,56.90892918,0.0369408,313136.3241
-131.9582905,56.76059454,0.0434302,266347.4846
-131.7618899,56.61196554,0.0590734,195816.1168
-131.5671484,56.46304749,0.0407151,284109.2458
-130.0668995,55.26191635,0.0680336,170026.7446
-129.8863303,55.11062667,0.0537994,215012.2702
-129.7072546,54.95909797,0.0464903,248815.6422
-129.5296566,54.80733498,0.0434266,266369.5078
-129.3535209,54.65534234,0.034681,333540.8521
-129.1788321,54.50312465,0.0445334,259749.3048
-129.0055751,54.35068646,0.0442833,261216.5886
-128.833735,54.19803229,0.0517186,223662.8387
-128.6632969,54.04516657,0.0549546,210492.2757
-128.4942461,53.89209371,0.0692595,167017.2746
-128.326568,53.73881806,0.0474944,243555.4685
-128.1602485,53.58534395,0.0434848,266012.8093
-127.9952732,53.43167562,0.0433243,266998.2442
-127.8316281,53.2778173,0.0503575,229707.9032
-127.6692993,53.12377315,0.0527789,219169.4519
-127.5082732,52.96954729,0.0483277,239355.8217
-127.3485361,52.81514382,0.0449933,257094.1205
-127.1900746,52.66056677,0.0549142,210647.2634
-127.0328754,52.50582013,0.0454273,254638.3476
-126.8769255,52.35090785,0.0604738,191281.7583
-126.7222117,52.19583384,0.0509944,226839.0544
-126.5687214,52.04060198,0.0909913,127127.8954
-126.4164418,51.88521608,0.0762671,151671.3612
-126.2653603,51.72967993,0.065104,177677.5563
-126.1154646,51.57399729,0.03727,310370.7403
-125.9667423,51.41817185,0.0488389,236850.5761
-125.8191815,51.26220729,0.0589626,196184.1637
-125.6727701,51.10610724,0.0894825,129271.4653
-125.5274962,50.94987528,0.0828902,139552.4455
-125.3833482,50.79351497,0.093259,124036.5997
-125.2403144,50.63702983,0.0856261,135093.5602
-125.0983835,50.48042333,0.0847304,136521.6634
-124.9575441,50.32369893,0.0788861,146635.8388
-124.8177851,50.16686003,0.0782771,147776.7147
-124.6790953,50.00991001,0.0624933,185100.2582
-124.5414639,49.8528522,0.0548123,211038.9485
-124.4048801,49.69568991,0.0502108,230379.0622
-124.2693333,49.53842641,0.0438097,264040.1699
-124.1348128,49.38106493,0.0369024,313462.8508
-124.0013082,49.22360869,0.0471536,245315.9352
-123.8688093,49.06606085,0.0814661,141991.9227
-123.7373058,48.90842455,0.0794607,145575.4587
-123.6067877,48.75070289,0.0933945,123856.671
-123.4772451,48.59289896,0.0846861,136592.9704
-123.3486681,48.4350158,0.0515747,224286.951
-141.1087848,62.52987744,0.1313623,88058.25477
-140.8300303,62.39730962,0.1535626,75327.81047
-140.5537741,62.26418717,0.1543269,74954.75045
-140.2799928,62.13051839,0.1431907,80784.10826
-140.0086635,61.99631146,0.1447209,79929.96284
-139.739763,61.8615745,0.1354043,85429.59588
-139.4732684,61.72631554,0.0951293,121597.9709
-139.2091568,61.59054249,0.0622074,185951.0814
-138.9474053,61.45426321,0.058048,199275.2519
-138.6879912,61.31748544,0.0465642,248421.1079
-138.4308918,61.18021686,0.0411866,280856.5868
-138.1760846,61.04246504,0.0602119,192113.5062
-137.9235472,60.90423748,0.0523568,220936.5382
